IdRegional;Municipio
431;12004 - BAHIA SOLANO  (MUTIS) - CHOCO
432;0 - BAJO AMARON - PUTUMAYO
433;0 - BAJO ARROYO - CALDAS
434;12034 - BAJO BAUDO  (PIZARRO) - CHOCO
435;0 - BAJO CACERES - VALLE DEL CAUCA
436;0 - BAJO CALIMA - VALLE DEL CAUCA
437;0 - BAJO CAPILLA - SANTANDER
438;0 - BAJO CASANARE - NARINO
439;0 - BAJO CHILVI - NARINO
440;0 - BAJO CORAZON - PUTUMAYO
441;0 - BAJO CUEMBI - PUTUMAYO
442;0 - BAJO DE PIEDRA - CORDOBA
443;0 - BAJO DEL OSO - ANTIOQUIA
444;0 - BAJO DEL TIGRE - BOLIVAR
445;0 - BAJO DON JUAN - SUCRE
446;0 - BAJO EUROPA - SUCRE
447;5172 - BAJO GRANDE - BOLIVAR
448;13005 - BAJO GRANDE - CORDOBA
449;0 - BAJO GRANDE - SUCRE
450;0 - BAJO GUABAL - NARINO
451;0 - BAJO GUIANI - META
452;0 - BAJO JAGUA - NARINO
453;27014 - BAJO JORDAN - SANTANDER
454;0 - BAJO LA PALMA - SUCRE
455;0 - BAJO MURRI - ANTIOQUIA
456;18006 - BAJO PIRAVANTE - HUILA
457;0 - BAJO PUREZA - SUCRE
458;0 - BAJO SAMARIA - RISARALDA
459;0 - BAJO SAN CARLOS - PUTUMAYO
460;0 - BAJO SAN FRANCISCO - CAUCA
461;0 - BAJO SAN GIL - CAQUETA
462;0 - BAJO SARTENEJO - HUILA
463;0 - BAJO SEMISA - SANTANDER
464;0 - BAJO SIGUI - CAUCA
465;0 - BAJO SIRGUIA - RISARALDA
466;0 - BAJO TABLAZO - CALDAS
467;0 - BAJO ZAPOTAL - NARINO
468;0 - BAJOGRANDE - SUCRE
469;21008 - BALALAIKA - NARINO
470;0 - BALASTRERA - BOYACA
471;10005 - BALBOA - CAUCA
472;12052 - BALBOA - CHOCO
473;25005 - BALBOA - RISARALDA
474;0 - BALCON ALTO - NARINO
475;0 - BALCON DEL CESAR - CESAR
476;29008 - BALCONCITOS - TOLIMA
477;0 - BALCONES - CUNDINAMARCA
478;0 - BALCONES - NORTE DE SANTANDER
479;0 - BALCONES DEL SUMAPAZ - TOLIMA
480;0 - BALDELOMAR - RISARALDA
481;5195 - BALLESTAS - BOLIVAR
482;0 - BALMORAL - CALDAS
483;0 - BALSAL - ANTIOQUIA
484;0 - BALSAMINA - NORTE DE SANTANDER
485;19005 - BALSAMO - MAGDALENA
486;0 - BALSILLAS - TOLIMA
487;8020 - BALSILLAS (SAN LUIS DEL OSO) - CAQUETA
488;22009 - BANCO DE ARENA - NORTE DE SANTANDER
489;0 - BANDERAS - NORTE DE SANTANDER
490;0 - BANGANITA - LA GUAJIRA
